,participant,word,onset,ep_type,last_sound,context
746,6,bugle,bj,na,f,passage
747,6,bugle,bj,na,na,context
748,6,clean,kl,none,n,passage
749,6,clean,kl,na,na,context
750,6,creek,kr,none,r,passage
751,6,creek,kr,na,na,context
752,6,cute,kj,none,e,passage
753,6,cute,kj,na,na,context
754,6,dreaming,dr,none,p,passage
755,6,dreaming,dr,na,na,context
756,6,drink,dr,none,i,passage
757,6,drink,dr,na,na,context
758,6,dwarf,dw,none,e,passage
759,6,dwarf,dw,na,na,context
760,6,dwayne,dw,none,na,passage
761,6,dwayne,dw,na,na,context
762,6,flickering,fl,none,t,passage
763,6,flickering,fl,na,na,context
764,6,flock,fl,none,e,passage
765,6,flock,fl,na,na,context
766,6,floor,fl,none,i,passage
767,6,floor,fl,na,na,context
768,6,fly,fl,none,s,passage
769,6,fly,fl,na,na,context
770,6,flying,fl,none,s,passage
771,6,flying,fl,na,na,context
772,6,freaks,fr,none,i,passage
773,6,freaks,fr,na,na,context
774,6,gloves,gl,none,l,passage
775,6,gloves,gl,na,na,context
776,6,grabs,gr,none,d,passage
777,6,grabs,gr,na,na,context
778,6,ground,gr,none,e,passage
779,6,ground,gr,na,na,context
780,6,place,pl,none,u,passage
781,6,place,pl,na,na,context
782,6,please,pl,none,na,passage
783,6,please,pl,na,na,context
784,6,plethora,pl,none,e,passage
785,6,plethora,pl,na,na,context
786,6,quacks,kw,none,d,passage
787,6,quacks,kw,na,na,context
788,6,queen,kw,none,e,passage
789,6,queen,kw,na,na,context
790,6,quickly,kw,none,r,passage
791,6,quickly,kw,na,na,context
792,6,scarlett,sk,prothesis,k,passage
793,6,scarlett,sk,na,na,context
794,6,scoop,sk,none,n,passage
795,6,scoop,sk,na,na,context
796,6,skeptical,sk,none,z,passage
797,6,skeptical,sk,na,na,context
798,6,skin,sk,prothesis,z,passage
799,6,skin,sk,na,na,context
800,6,skip,sk,none,n,passage
801,6,skip,sk,na,na,context
802,6,sleep,sl,none,d,passage
803,6,sleep,sl,na,na,context
804,6,slips,sl,none,u,passage
805,6,slips,sl,na,na,context
806,6,sloth,sl,prothesis,l,passage
807,6,sloth,sl,na,na,context
808,6,slouched,sl,none,z,passage
809,6,slouched,sl,na,na,context
810,6,slow,sl,none,t,passage
811,6,slow,sl,na,na,context
812,6,slugs,sl,none,i,passage
