participant,word ,onset,ep_type,last_sound ,context 
4,breeze ,br ,none,e,passage 
4,queen ,kw ,none,e,passage 
4,twitches ,tw ,none,n,passage 
4,throttle ,θr,none,z,passage 
4,brings ,br ,none,r,passage 
4,three ,θr,none,m,passage 
4,sleep ,sl ,none,d,passage 
4,scarlett ,sk ,none,k,passage 
4,creek ,kr ,none,r,passage 
4,plethora ,pl ,anaptyxis ,e,passage 
4,snow ,sn ,none,e,passage 
4,smelling ,sm ,none,z,passage 
4,brother ,br ,none,n,passage 
4,freaks ,fr ,none,i,passage 
4,start,st,none,d,passage
4,trot ,tr ,none,na,context 
4,snaps ,sn ,none,na,context 
4,dwayne ,dw ,none,na,context 
4,cute ,kj ,none,na,context 
4,swats ,sw ,none,na,context 
4,gloves ,gl ,none,na,context 
4,smith ,sm ,none,na,context 
4,starts ,st ,none,na,context 
4,steps ,st ,none,na,context 
4,slugs ,sl ,none,na,context 
4,quacks ,kw ,none,na,context 
4,skip ,sk ,none,na,context 
4,flying ,fl ,none,na,context 
4,drink ,dr ,none,na,context 
4,grabs ,gr ,none,na,context 
4,smog ,sm ,none,na,context 
4,beautiful ,bj ,none,na,context 
4,dwarf ,dw ,none,na,context 
4,quickly ,kw ,none,na,context 
4,snoops ,sn ,none,na,context 
4,bring ,br ,none,na,context 
4,start ,st ,none,na,context 
4,flickering ,fl ,none,na,context 
4,spark ,sp ,none,na,context 
4,small ,sm ,none,na,context 
4,scoop ,sk ,none,na,context 
4,skin ,sk ,none,na,context 
4,snag ,sn ,none,na,context 
4,thread ,θr ,none,na,context 
4,sweeps ,sw ,none,na,context 
4,please ,pl ,none,na,context 
4,floor ,fl ,none,na,context 
4,thrashing ,θr,none,na,context 
4,speed ,sp ,none,na,context 
4,smiles ,sm ,none,na,context 
4,swoon ,sw ,none,na,context 
4,slouched ,sl ,none,na,context 
4,swim ,sw ,none,na,context 
4,dreaming ,dr ,none,na,context 
4,twin ,tw ,none,na,context 
4,bugle ,bj ,na,na,context 
4,clean ,kl ,none,na,context 
4,snips ,sn ,none,na,context 
4,ground ,gr ,none,na,context 
4,slips ,sl ,none,na,context 
4,place ,pl ,none,na,context 
4,tweaking ,tw ,none,na,context 
4,sweeping ,sw ,none,na,context 
4,sloth ,sl ,none,na,context 
4,spreading ,sp,none,na,context 
4,sniffs ,sn ,none,na,context 
4,flock ,fl ,none,na,context 
4,snatch ,sn ,none,na,context 
4,small ,sm ,none,na,context 
4,slow ,sl ,none,na,context 
4,stop ,st ,none,na,context 
4,smacked ,sm ,none,na,context 
4,skeptical ,sk ,none,na,context 
4,fly ,fl ,none,na,context 
4,breeze ,br ,none,na,context 
4,queen ,kw ,none,na,context 
4,twitches ,tw ,none,na,context 
4,throttle ,θr,none,na,context 
4,brings ,br ,none,na,context 
4,three ,θr,none,na,context 
4,sleep ,sl ,none,na,context 
4,scarlett ,sk ,prothesis,na,context 
4,creek ,kr ,none,na,context 
4,plethora ,pl ,none,na,context 
4,snow ,sn ,none,na,context 
4,smelling ,sm ,none,na,context 
4,brother ,br ,none,na,context 
4,freaks ,fr ,none,na,context 
4,start,st,none,na,context
5,trot ,tr ,none,z,passage 
5,snaps ,sn ,none,n,passage 
5,dwayne ,dw ,none,na,passage 
5,cute ,kj ,none,e,passage 
5,swats ,sw ,none,d,passage 
5,gloves ,gl ,none,l,passage 
5,smith ,sm ,none,na,passage 
5,starts ,st ,none,s,passage 
5,steps ,st ,none,n,passage 
5,slugs ,sl ,none,i,passage 
5,quacks ,kw ,none,d,passage 
5,skip ,sk ,none,n,passage 
5,flying ,fl ,none,s,passage 
5,drink ,dr ,none,i,passage 
5,grabs ,gr ,none,d,passage 
5,smog ,sm ,none,k,passage 
5,beautiful ,bj ,none,r,passage 
5,dwarf ,dw ,none,e,passage 
5,quickly ,kw ,none,r,passage 
5,snoops ,sn ,none,d,passage 
5,bring ,br ,none,r,passage 
5,start ,st ,none,d,passage 
5,flickering ,fl ,none,t,passage 
5,spark ,sp ,none,g,passage 
5,small ,sm ,none,s,passage 
5,scoop ,sk ,none,n,passage 
5,skin ,sk ,none,z,passage 
5,snag ,sn ,none,d,passage 
5,thread ,θr ,none,r,passage 
5,sweeps ,sw ,none,d,passage 
5,please ,pl ,none,na,passage 
5,floor ,fl ,none,i,passage 
5,thrashing ,θr,none,z,passage 
5,speed ,sp ,none,l,passage 
5,smiles ,sm ,none,p,passage 
5,swoon ,sw ,none,n,passage 
5,slouched ,sl ,none,z,passage 
5,swim ,sw ,none,d,passage 
5,dreaming ,dr ,none,p,passage 
5,twin ,tw ,none,r,passage 
5,bugle ,bj ,none,f,passage 
5,clean ,kl ,none,n,passage 
5,snips ,sn ,none,i,passage 
5,ground ,gr ,none,e,passage 
5,slips ,sl ,none,u,passage 
5,place ,pl ,none,u,passage 
5,tweaking ,tw ,none,n,passage 
5,sweeping ,sw ,none,z,passage 
5,sloth ,sl ,none,l,passage 
5,spreading ,sp,none,l,passage 
5,sniffs ,sn ,none,o,passage 
5,flock ,fl ,none,e,passage 
5,snatch ,sn ,none,n,passage 
5,small ,sm ,none,r,passage 
5,slow ,sl ,none,t,passage 
5,stop ,st ,none,t,passage 
5,smacked ,sm ,none,t,passage 
5,skeptical ,sk ,none,z,passage 
5,fly ,fl ,none,s,passage 
5,breeze ,br ,none,e,passage 
5,queen ,kw ,none,e,passage 
