participant,word,onset,ep_type,has_ep,preceding_v,context,nap_sonority,sonority_delta,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1,PC2
1,scarlett,sk,none,FALSE,FALSE,context,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,creek,kr,none,FALSE,FALSE,context,5,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,plethora,pl,none,FALSE,FALSE,context,5,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,snow,sn,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,smelling,sm,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,brother,br,none,FALSE,FALSE,context,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,freaks,fr,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,starts,st,none,FALSE,FALSE,context,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
2,trot,tr,none,FALSE,FALSE,passage,5,3,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,snaps,sn,none,FALSE,FALSE,passage,5,1,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,dwane,dw,anaptyxis,TRUE,FALSE,passage,4,4,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,cute,kj,none,FALSE,TRUE,passage,6,4,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,swats,sw,none,FALSE,FALSE,passage,6,3,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,gloves,gl,none,FALSE,FALSE,passage,3,3,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,smith,sm,none,FALSE,FALSE,passage,5,1,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,starts,st,none,FALSE,FALSE,passage,3,-1,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,steps,st,none,FALSE,FALSE,passage,3,-1,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,slugs,sl,none,FALSE,TRUE,passage,5,2,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,quacks,kw,none,FALSE,FALSE,passage,6,4,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,skip,sk,none,FALSE,FALSE,passage,3,-1,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,flying,fl,none,FALSE,FALSE,passage,5,2,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,drink,dr,none,FALSE,TRUE,passage,3,3,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,grabs,gr,none,FALSE,FALSE,passage,3,3,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,smog,sm,none,FALSE,FALSE,passage,5,1,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,beautiful,bj,none,FALSE,FALSE,passage,4,4,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,dwarf,dw,none,FALSE,TRUE,passage,4,4,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,quickly,kw,none,FALSE,FALSE,passage,6,4,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,snoops,sn,none,FALSE,FALSE,passage,5,1,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,bring,br,none,FALSE,FALSE,passage,3,3,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
2,start,st,prothesis,TRUE,FALSE,passage,3,-1,Female,farsi,40,55,13,7,9,3,9,17,43,5,10,8,-28.169728075983535,2.036851077945597
